"PATNO","EVENT_ID","cjv","cnr","efc","fber","rpve_csf","rpve_gm","rpve_wm","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_csf_k","summary_csf_mad","summary_csf_mean","summary_csf_median","summary_csf_n","summary_csf_p05","summary_csf_p95","summary_csf_stdv","summary_gm_k","summary_gm_mad","summary_gm_mean","summary_gm_median","summary_gm_n","summary_gm_p05","summary_gm_p95","summary_gm_stdv","summary_wm_k","summary_wm_mad","summary_wm_mean","summary_wm_median","summary_wm_n","summary_wm_p05","summary_wm_p95","summary_wm_stdv","icvs_csf","icvs_gm","icvs_wm","inu_med","inu_range","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"3902","BL","1.30667","0.706763","0.503518","-1","8.82816","8.64016","8.71944","3.88877","3.82933","4.01977","3.8172","16043.8","0","1.54222","0","3024070","0","12.0955","5.62334","0.181574","130.961","431.955","411.13","335921","159.277","742.011","171.508","6.93007","79.2319","751.238","759.922","457725","476.725","998.168","153.992","-0.599919","87.2499","886.329","887.332","499340","735.324","1034.86","93.5574","0.259803","0.354006","0.386192","0.694691","0.251218","2.39715","4.93482","5.60544","9.48435","47.8979","88.5332","79.936","103.377"
"3903","BL","0.684421","1.37116","0.530099","-1","6.66866","6.55766","6.62558","4.53711","4.42359","4.68807","4.49967","696.426","0","3.22331","0","3398060","0","8.40506","36.8257","-0.29504","160.38","436.182","409.625","448793","172.021","763.729","184.186","1.71585","77.7637","780.14","776.983","632071","585.849","989.898","118.46","-0.231804","54.5184","958.733","970.259","630008","830.606","1050.96","66.9351","0.262319","0.369444","0.368238","0.393613","0.121496","2.22398","6.55905","7.75951","14.4955","7.28731","13.8227","12.7904","17.2611"
"3904","BL","0.988401","0.762079","0.55804","5316.31","6.66751","6.49941","6.60056","3.93867","3.9581","4.08239","3.77553","399.506","0","12.3918","0","2920290","0","34.226","85.0723","3.06418","127.266","456.771","428.95","435574","201.159","779.255","179.007","16.2902","81.0416","763.217","774.558","602565","404.217","1065.55","194.872","-0.539305","97.1907","947.181","954.882","662602","771.21","1104.53","103.813","0.256108","0.354295","0.389596","0.680702","0.229573","2.39628","3.9747","5.1897","9.19811","3.30331","5.96482","5.54054","7.35348"
"3905","BL","0.744561","1.27945","0.48554","16768.2","7.13105","7.0022","7.07774","4.24177","4.20541","4.26787","4.25202","12.4027","0","2.47094","0","3128110","0","12.9428","4.98336","-0.157119","155.797","476.323","459.285","425843","223.759","786.871","180.771","0.926083","71.342","783.464","780.988","587388","591.066","986.327","116.334","-0.264466","59.191","943.75","956.303","585309","808.739","1043.74","72.2305","0.266395","0.367452","0.366152","0.441423","0.138305","2.5407","6.71332","7.49787","13.2396","60.3798","102.672","96.2574","125.72"
"3907","BL","0.920724","0.969254","0.477434","16045.7","8.7148","8.54318","8.60556","4.53219","4.49991","4.60689","4.48976","1890.81","0","3.40839","0","2812440","0","9.04789","35.5376","-0.406663","128.457","396.158","366.877","349677","200.846","685.221","150.241","1.89622","61.5085","739.542","741.51","474619","517.856","958.742","128.65","-0.682926","83.1447","884.527","898.618","489158","728.167","1016.91","91.9786","0.266227","0.361352","0.372421","0.528396","0.196197","2.44192","5.76379","5.99185","9.76985","6.76339","13.6698","12.3331","16.566"
"3908","BL","0.767333","1.0998","0.531175","17649.1","6.92605","6.7824","6.8601","4.12873","4.04449","4.25654","4.08516","428.02","0","4.85133","0","2572610","0","12.5298","49.5881","-0.188427","158.345","460.596","439.397","420759","173.883","790.445","190.98","7.79424","72.9169","792.662","789.678","605930","567.593","1019.22","134.917","-0.344218","65.8401","957.464","970.508","618137","808.643","1068.66","79.8294","0.255808","0.368386","0.375807","0.43528","0.12973","2.30074","5.85306","6.77035","12.1573","5.80512","10.4329","9.68664","12.8219"
"3910","BL","0.708532","1.19619","0.55009","19024.4","6.05198","5.93284","6.01857","4.09944","4.11099","4.11556","4.07178","373.19","0","7.25271","0","3006800","0","15.437","69.7412","0.854808","153.349","496.573","481.282","474439","205.056","817.069","197.6","1.82349","77.6411","788.468","783.335","700062","584.714","1004.88","124.478","0.00829387","57.8723","964.292","974.594","700972","827.963","1066.42","72.1556","0.25297","0.373272","0.373758","0.404453","0.11894","2.43564","6.29294","7.4118","13.5068","4.52108","7.3585","7.01158","9.15516"
"3911","BL","0.729149","1.16577","0.521057","14454.8","6.85237","6.71731","6.8071","4.19887","4.06439","4.53126","4.00095","852.993","0","4.12336","0","2681670","0","10.9859","33.7872","-0.164151","141.541","453.393","430.152","434645","215.542","765.323","176.087","3.24543","76.5102","759.827","762.202","602894","501.946","1005.23","146.991","-0.509162","69.5383","945.764","962.502","622080","791.957","1057","82.2992","0.261894","0.363273","0.374833","0.464672","0.135085","2.44284","5.18536","6.44111","11.6951","8.34068","14.7791","13.9276","18.663"
"3914","BL","0.631452","1.56117","0.52","23035.6","6.93701","6.82713","6.90321","4.24849","4.19692","4.37108","4.17746","3869.94","0","2.77557","0","3481850","0","12.9881","19.359","1.38528","158.818","456.229","444.57","428135","161.808","765.813","190.896","1.0639","71.0628","747.57","743.255","628903","582.05","942.378","103.23","0.0525514","61.0473","932.138","952.471","585363","770.96","1038.52","83.2359","0.260676","0.382917","0.356407","0.449643","0.148963","2.32885","7.20001","6.99063","11.443","15.0448","25.1527","24.1435","32.2329"
"3915","BL","0.603644","1.62616","0.524336","25162.7","7.75398","7.66285","7.75014","4.28137","4.20774","4.4413","4.19508","7.35063","0","1.79729","0","2937660","0","10.0477","3.83857","0.289681","141.374","465.898","464.266","391579","110.916","786.027","200.785","-0.498624","77.3239","750.477","750.332","557426","561.342","958.402","112.585","-0.306986","52.6892","949.939","965.713","519936","810.814","1039.29","69.658","0.266572","0.379475","0.353953","0.371157","0.0921556","2.31225","6.66459","7.61349","13.8636","79.2373","128.061","124.039","164.82"
